quantity,value,unit,source
Xi_u,8.89108527131781,eV,Uniaxial_clean.ipynb
m_l,0.9594672432393719,m_e,Uniaxial_clean.ipynb
m_t,0.1939689013398272,m_e,Uniaxial_clean.ipynb
C11,161.90266279069778,GPa,Uniaxial_clean.ipynb
C12,65.20213953488376,GPa,Uniaxial_clean.ipynb
T,300.0,K,Uniaxial_clean.ipynb
S11,0.00803449092241879,1/GPa,Uniaxial_clean.ipynb
S12,-0.002306714753941148,1/GPa,Uniaxial_clean.ipynb
dS_Pa,1.0341205676359935e-11,1/Pa,Uniaxial_clean.ipynb
B,97.43564728682175,GPa,Uniaxial_clean.ipynb
nu,0.28710154460498283,-,Uniaxial_clean.ipynb
beta,343.99749843065945,1/strain,Uniaxial_clean.ipynb
inv_mc,3.784392094327249,1/m_e,Uniaxial_clean.ipynb
sigma0,3.7843920943272495,n*e^2*tau,Uniaxial_clean.ipynb
m_par,-83.08615092844066,-,Uniaxial_clean.ipynb
m_perp,41.54307546422033,-,Uniaxial_clean.ipynb
pi11,-8.592109756080889e-10,1/Pa,Uniaxial_clean.ipynb
pi12,4.2960548780404444e-10,1/Pa,Uniaxial_clean.ipynb
b_star,2.3546153846153923,eV,Uniaxial_clean.ipynb
eps_linear_5pct,0.00039097744360902173,-,Uniaxial_clean.ipynb
